file,xmin,ymin,xmax,ymax
b101-9_t.png,267,45,747,722
b102-0_t.png,282,146,606,718
b104-8_t.png,48,43,705,721
b105-2_t.png,51,51,756,724
b106-8_t.png,58,45,692,721
b107-9_t.png,120,45,736,767
b108-6_t.png,325,60,754,767
b109-4_t.png,174,45,573,718
b110-6_t.png,45,45,754,722
b111-7_t.png,45,45,646,741
b112-2_t.png,42,57,442,724
b114-3_t.png,140,45,538,646
b115-8_t.png,103,155,585,722
b116-6_t.png,0,45,740,767
b117-0_t.png,45,45,652,722
b118-8_t.png,57,86,656,722
b119-0_t.png,190,144,646,719
b120-9_t.png,143,54,754,679
b121-7_t.png,50,45,555,715
b122-4_t.png,169,0,754,724
b123-1_t.png,329,127,754,623
b124-5_t.png,146,166,538,715
b126-1_t.png,211,45,760,722
b127-6_t.png,41,47,706,714
b129-7_t.png,172,183,752,767
b130-1_t.png,45,45,755,724
b132-7_t.png,251,47,799,722
b134-9_t.png,186,0,736,722
b135-8_t.png,0,45,754,723
b136-8_t.png,31,45,715,661
b137-6_t.png,277,71,714,698
b138-3_t.png,194,45,747,767
b139-2_t.png,264,217,652,722
b140-8_t.png,48,110,626,723
b141-4_t.png,237,45,799,701
b142-1_t.png,45,54,718,706
b143-6_t.png,0,45,752,722
b144-3_t.png,57,44,729,720
b145-8_t.png,159,45,720,767
b146-6_t.png,183,169,754,722
b147-7_t.png,45,45,504,726
b148-6_t.png,47,45,799,767
b150-3_t.png,165,45,741,767
b151-9_t.png,45,45,566,722
b152-8_t.png,47,48,752,718
b153-1_t.png,45,46,754,723
b154-6_t.png,180,52,754,724
b155-6_t.png,44,45,756,718
b157-7_t.png,86,63,611,722
b158-8_t.png,202,0,754,650
b161-1_t.png,92,79,755,735
b163-7_t.png,151,45,679,767
b164-3_t.png,46,144,606,767
b165-7_t.png,59,222,606,767
b166-3_t.png,45,45,489,739
b167-2_t.png,53,45,480,722
b168-1_t.png,40,46,754,723
b169-2_t.png,199,177,659,725
b170-7_t.png,47,45,610,722
b171-7_t.png,45,44,759,727
b172-1_t.png,45,50,776,711
b173-9_t.png,189,200,612,767
b175-6_t.png,45,45,750,722
b176-7_t.png,299,44,753,720
b177-6_t.png,45,233,683,723
b179-2_t.png,240,66,619,767
b180-4_t.png,187,209,709,718
b181-8_t.png,91,45,503,748
b182-7_t.png,300,47,755,720
b183-1_t.png,45,107,754,686
b185-7_t.png,138,46,749,767
b187-2_t.png,47,44,738,722
b188-7_t.png,129,45,679,722
b189-7_t.png,101,45,649,722
b190-8_t.png,0,45,799,718
b191-3_t.png,58,44,557,701
b192-9_t.png,124,55,750,722
b193-2_t.png,45,52,789,722
b194-8_t.png,0,45,547,724
b195-3_t.png,134,93,598,718
b196-7_t.png,261,127,613,719
b197-8_t.png,153,45,754,724
b198-6_t.png,160,45,799,730
b199-1_t.png,221,56,754,709
b200-6_t.png,45,45,799,719
g001-2_t.png,45,74,751,724
g002-3_t.png,55,45,754,767
g003-8_t.png,200,45,799,720
g004-8_t.png,46,45,561,717
g005-8_t.png,50,116,602,722
g006-6_t.png,45,44,754,767
g007-1_t.png,31,45,753,724
g008-6_t.png,144,52,759,722
g009-8_t.png,84,279,602,723
g011-7_t.png,208,206,598,722
g012-8_t.png,46,45,601,722
g013-4_t.png,399,45,755,598
g014-7_t.png,328,45,728,723
g016-8_t.png,54,54,568,722
g017-9_t.png,45,183,580,722
g018-6_t.png,233,45,799,730
g019-1_t.png,265,65,732,767
g020-6_t.png,256,45,754,726
g021-7_t.png,45,45,718,728
g023-6_t.png,43,45,727,722
g026-9_t.png,277,54,799,722
g027-6_t.png,378,75,750,723
g028-1_t.png,45,45,754,723
g029-9_t.png,244,90,632,767
g030-1_t.png,317,230,622,722
