file,xmin,ymin,xmax,ymax
b101-9_t.png,274,216,740,737
b102-0_t.png,293,132,605,687
b104-8_t.png,33,135,692,736
b105-2_t.png,88,43,699,737
b106-8_t.png,74,39,589,733
b107-9_t.png,109,99,584,767
b108-6_t.png,310,148,769,767
b109-4_t.png,162,94,591,683
b110-6_t.png,238,107,769,737
b111-7_t.png,102,29,661,767
b112-2_t.png,25,140,436,741
b114-3_t.png,131,30,551,643
b115-8_t.png,107,152,573,736
b116-6_t.png,197,164,769,767
b117-0_t.png,84,30,530,648
b118-8_t.png,43,72,631,679
b119-0_t.png,177,144,639,733
b120-9_t.png,126,104,527,607
b121-7_t.png,180,159,569,712
b122-4_t.png,155,0,736,671
b123-1_t.png,315,183,769,638
b124-5_t.png,134,152,547,693
b126-1_t.png,238,63,779,737
b127-6_t.png,149,156,679,702
b129-7_t.png,156,243,594,767
b130-1_t.png,295,122,771,739
b132-7_t.png,235,99,681,737
b134-9_t.png,192,19,562,632
b135-8_t.png,86,29,656,738
b136-8_t.png,74,30,541,617
b137-6_t.png,267,140,729,700
b138-3_t.png,179,30,756,683
b139-2_t.png,263,202,667,737
b140-8_t.png,36,138,637,739
b141-4_t.png,224,128,650,699
b142-1_t.png,210,182,730,712
b143-6_t.png,158,30,767,738
b144-3_t.png,41,30,717,670
b145-8_t.png,105,30,691,767
b146-6_t.png,169,42,775,737
b147-7_t.png,30,152,508,743
b148-6_t.png,133,125,729,739
b150-3_t.png,138,131,634,767
b151-9_t.png,112,78,575,737
b152-8_t.png,32,175,767,657
b153-1_t.png,30,82,769,739
b154-6_t.png,213,111,749,731
b155-6_t.png,184,125,689,666
b157-7_t.png,72,157,626,737
b158-8_t.png,187,0,727,626
b161-1_t.png,131,187,770,767
b163-7_t.png,50,30,563,767
b164-3_t.png,93,132,606,568
b165-7_t.png,134,214,585,619
b166-3_t.png,30,30,480,565
b167-2_t.png,116,244,504,738
b168-1_t.png,279,178,769,739
b169-2_t.png,188,185,634,742
b170-7_t.png,206,45,601,531
b171-7_t.png,29,28,565,745
b172-1_t.png,269,39,799,669
b173-9_t.png,174,194,627,767
b175-6_t.png,29,30,698,688
b176-7_t.png,288,28,690,488
b177-6_t.png,208,236,682,738
b179-2_t.png,185,104,634,767
b180-4_t.png,172,194,634,733
b181-8_t.png,76,30,511,643
b182-7_t.png,301,53,769,715
b183-1_t.png,117,154,769,701
b185-7_t.png,40,35,686,739
b187-2_t.png,96,29,606,738
b188-7_t.png,89,88,664,737
b189-7_t.png,87,30,577,737
b190-8_t.png,84,82,628,727
b191-3_t.png,141,29,569,717
b192-9_t.png,110,167,658,737
b193-2_t.png,31,67,502,737
b194-8_t.png,80,99,562,745
b195-3_t.png,120,119,612,731
b196-7_t.png,247,154,626,634
b197-8_t.png,140,30,661,741
b198-6_t.png,146,30,773,750
b199-1_t.png,207,87,726,717
